RANK	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	0	2	12	1	1
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	0	2	12	1	1
	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	k	k	s	s	s	s	s	s	s	s	k
/scene																																																																																																																																			
scene	dia_encore_et_hop	162	prolong_when_ends																																																																																																																																
dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop
ID	currentDrawingStroke	brushID	pen_radius	pen_color	repop_color	local_color_greyPen	local_color_greyRepop	local_color_a	blendTransp	particleMode	part_acc_factor	noiseScale	noiseLineScale	noiseType	noiseAngleScale	noiseCenter_0	noiseCenter_1	partAccCenter_0	partAccCenter_1	partic_radius	repopulatingBG	repopulatingCA	CAType	CASubType	clearCA	clearLayer	clearAllLayers	copyTrack12	invertAllLayers	cursorSize	echo	echoNeg	pen_color_pulse	repop_color_pulse	pen_radius_pulse	partic_radius_pulse	part_acc_pulse	repop_hue_pulse	pen_color_replay_pulse	pen_radius_replay_pulse	flashTrack0_freq_1	flashTrack0_freq_2	flashTrack0_freq_3	flashCA_freq_0	flashCA_freq_1	flashCA_freq_2	flashCA_freq_3	flashBack_freq	flashPart_freq	flashPart_duration	flashCameraLength	flashCameraBright	flashCameraBeat	pen_radius_pressure_coef	pen_radius_angleHor_coef	pen_radius_angleVer_coef	tracksSync	currentDrawingTrack	currentVideoTrack	currentPhotoTrack	trackdecay_sign_0	trackdecay_sign_1	trackdecay_sign_2	trackdecay_sign_3	trackdecay_0	trackdecay_1	trackdecay_2	trackdecay_3	CACompositionWeight	trackCompositionWeight_0	trackCompositionWeight_1	trackCompositionWeight_2	trackCompositionWeight_3	CAFinalWeight	trackFinalWeight_0	trackFinalWeight_1	trackFinalWeight_2	trackFinalWeight_3	path_replay_0	path_replay_1	path_replay_2	path_replay_3	path_record_0	path_record_1	path_record_2	path_record_3	auto_beat	auto_beat_duration	CAdecay_sign	CAdecay	CAdecay_pulse	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	invertMovie	cameraCumul	video_satur_pulse	cameraThreshold	cameraGamma	cameraExposure	cameraGain	cameraBrightness	cameraSaturation	cameraContrast	cameraCaptFreq	movieCaptFreq	cameraWeight	movieWeight	cameraSobel	movieSobel	playing_movieNo	BGSubtr	CAstep	interfaceMode	CAcolorSpread	sound_volume	sound_min	beat_threshold	beat_delay	freeze	photo weight	photo_diaporama	photo_diaporama_fade	photo_diaporama_plateau	reset_sound	currentBGCapture
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	1	2	12	1	1
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	1	2	12	1	1
	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	k	k	s	s	s	s	s	s	s	s	k
/scene																																																																																																																																			
scene	les_3_marins_de_groix	275	prolong_when_ends																																																																																																																																
les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	les_3_marins_de_groix	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop	dia_encore_et_hop
ID	currentDrawingStroke	brushID	pen_radius	pen_color	repop_color	local_color_greyPen	local_color_greyRepop	local_color_a	blendTransp	particleMode	part_acc_factor	noiseScale	noiseLineScale	noiseType	noiseAngleScale	noiseCenter_0	noiseCenter_1	partAccCenter_0	partAccCenter_1	partic_radius	repopulatingBG	repopulatingCA	CAType	CASubType	clearCA	clearLayer	clearAllLayers	copyTrack12	invertAllLayers	cursorSize	echo	echoNeg	pen_color_pulse	repop_color_pulse	pen_radius_pulse	partic_radius_pulse	part_acc_pulse	repop_hue_pulse	pen_color_replay_pulse	pen_radius_replay_pulse	flashTrack0_freq_1	flashTrack0_freq_2	flashTrack0_freq_3	flashCA_freq_0	flashCA_freq_1	flashCA_freq_2	flashCA_freq_3	flashBack_freq	flashPart_freq	flashPart_duration	flashCameraLength	flashCameraBright	flashCameraBeat	pen_radius_pressure_coef	pen_radius_angleHor_coef	pen_radius_angleVer_coef	tracksSync	currentDrawingTrack	currentVideoTrack	currentPhotoTrack	trackdecay_sign_0	trackdecay_sign_1	trackdecay_sign_2	trackdecay_sign_3	trackdecay_0	trackdecay_1	trackdecay_2	trackdecay_3	CACompositionWeight	trackCompositionWeight_0	trackCompositionWeight_1	trackCompositionWeight_2	trackCompositionWeight_3	CAFinalWeight	trackFinalWeight_0	trackFinalWeight_1	trackFinalWeight_2	trackFinalWeight_3	path_replay_0	path_replay_1	path_replay_2	path_replay_3	path_record_0	path_record_1	path_record_2	path_record_3	auto_beat	auto_beat_duration	CAdecay_sign	CAdecay	CAdecay_pulse	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	invertMovie	cameraCumul	video_satur_pulse	cameraThreshold	cameraGamma	cameraExposure	cameraGain	cameraBrightness	cameraSaturation	cameraContrast	cameraCaptFreq	movieCaptFreq	cameraWeight	movieWeight	cameraSobel	movieSobel	playing_movieNo	BGSubtr	CAstep	interfaceMode	CAcolorSpread	sound_volume	sound_min	beat_threshold	beat_delay	freeze	photo weight	photo_diaporama	photo_diaporama_fade	photo_diaporama_plateau	reset_sound	currentBGCapture
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0.527551	0	0	1	0	0	1	0	0	3	0.18102	0.015714	3	3	0	0.283469	0.3	0	0	0	0	4	4	0	0	8	8	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0.00006	0	0.133878	0.543265	1	0	0.055102	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	20	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	0	-1	2	12	1	0
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0.527551	0	0	1	0	0	1	0	0	3	0.18102	0.015714	3	3	0	0.283469	0.3	0	0	0	0	4	4	0	0	8	8	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0.00006	0	0.133878	0.543265	1	0	0.055102	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	20	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	0	-1	2	12	1	0
	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	k	k	s	s	s	s	s	s	s	s	k
/scene																																																																																																																																			
scene	dia_penn_sardin	220	prolong_when_ends																																																																																																																																
dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin	dia_penn_sardin
ID	currentDrawingStroke	brushID	pen_radius	pen_color	repop_color	local_color_greyPen	local_color_greyRepop	local_color_a	blendTransp	particleMode	part_acc_factor	noiseScale	noiseLineScale	noiseType	noiseAngleScale	noiseCenter_0	noiseCenter_1	partAccCenter_0	partAccCenter_1	partic_radius	repopulatingBG	repopulatingCA	CAType	CASubType	clearCA	clearLayer	clearAllLayers	copyTrack12	invertAllLayers	cursorSize	echo	echoNeg	pen_color_pulse	repop_color_pulse	pen_radius_pulse	partic_radius_pulse	part_acc_pulse	repop_hue_pulse	pen_color_replay_pulse	pen_radius_replay_pulse	flashTrack0_freq_1	flashTrack0_freq_2	flashTrack0_freq_3	flashCA_freq_0	flashCA_freq_1	flashCA_freq_2	flashCA_freq_3	flashBack_freq	flashPart_freq	flashPart_duration	flashCameraLength	flashCameraBright	flashCameraBeat	pen_radius_pressure_coef	pen_radius_angleHor_coef	pen_radius_angleVer_coef	tracksSync	currentDrawingTrack	currentVideoTrack	currentPhotoTrack	trackdecay_sign_0	trackdecay_sign_1	trackdecay_sign_2	trackdecay_sign_3	trackdecay_0	trackdecay_1	trackdecay_2	trackdecay_3	CACompositionWeight	trackCompositionWeight_0	trackCompositionWeight_1	trackCompositionWeight_2	trackCompositionWeight_3	CAFinalWeight	trackFinalWeight_0	trackFinalWeight_1	trackFinalWeight_2	trackFinalWeight_3	path_replay_0	path_replay_1	path_replay_2	path_replay_3	path_record_0	path_record_1	path_record_2	path_record_3	auto_beat	auto_beat_duration	CAdecay_sign	CAdecay	CAdecay_pulse	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	invertMovie	cameraCumul	video_satur_pulse	cameraThreshold	cameraGamma	cameraExposure	cameraGain	cameraBrightness	cameraSaturation	cameraContrast	cameraCaptFreq	movieCaptFreq	cameraWeight	movieWeight	cameraSobel	movieSobel	playing_movieNo	BGSubtr	CAstep	interfaceMode	CAcolorSpread	sound_volume	sound_min	beat_threshold	beat_delay	freeze	photo weight	photo_diaporama	photo_diaporama_fade	photo_diaporama_plateau	reset_sound	currentBGCapture
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	2	2	12	1	1
	0	0	1	6.22857	6.17286	0	0	1	1	1	0.01	0.04	0.5	3	0.511658	1.7	1.7	0.5	0.5	0	0	0	0	0	0	0	1	0	0	3	0	0	3	3	0	0.283469	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	0	0	0	1	3	2	1	1	1	1	0.001339	0	0	0.001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.015755	0	0.755	0.598	0.598	0.606	0.669	0.464	0.236	0	0	2	1	0.175	1	-5	0	20	100	100	3	0	0	0	0	0	0	1	1	0	1	1	0	0.070816	496.122009	0	1	2	2	12	1	1
	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	l	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	k	s	s	s	s	s	s	s	s	s	s	k	k	s	s	s	s	s	s	s	s	k
/scene																																																																																																																																			
scene	le_chant_des_goelands	302	prolong_when_ends																																																																																																																																
le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands	le_chant_des_goelands
